id,asset_id,side,close_reason,entry_price,close_price,closed_pnl_pct,trailing_stop_peak_pnl_pct,size_usd,created_at,closed_at,signal_still_active,error,foregone_1h,end_pct_1h,foregone_4h,end_pct_4h,foregone_12h,end_pct_12h,foregone_24h,end_pct_24h,foregone_48h,end_pct_48h,continued_24h,max_additional_24h
fbfa85d1-a46d-4517-9daa-25955c4ae8b7,nvda,long,bb2_expiry,197.72,201.21,1.7651223953064985,2.01800525996359,22.334310000000002,2026-04-17 05:32:16.450036+00,2026-04-17 21:33:06.844+00,True,,0.134,-0.055,0.134,-0.671,0.134,-0.741,0.134,-1.262,0.134,-1.556,False,0.134
fc6dbcf3-ea55-46c3-b180-2cc8bc830263,spx,long,bb2_expiry,7038.8,7122.1,1.1834403591521307,1.5016764221174,28.4888,2026-04-17 02:32:24.789144+00,2026-04-17 18:33:11.931+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
b8b2cf65-438e-476e-820a-4829df74a0ee,spx,long,bb2_expiry,7038.8,7121.7,1.1777575723134572,1.5016764221174,154.91002500000002,2026-04-17 02:32:15.963375+00,2026-04-17 18:33:06.205+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
ba467b9c-d073-418b-800e-fc2b170d4466,hype,long,stop_loss,44.686,44.327,-0.8033836100792234,0.413999910486511,247.89973,2026-04-17 17:32:15.016811+00,2026-04-17 18:09:06.028+00,True,,0.826,0.205,1.205,0.841,2.547,1.123,2.547,-0.345,2.547,-6.52,True,2.547
24e73faf-17a1-47ff-8d5a-b3d1cc225466,sol,long,bb2_expiry,88.196,89.69,1.6939543743480427,2.63617397614405,38.5839,2026-04-17 01:32:50.923253+00,2026-04-17 17:33:13.104+00,True,,0.765,-0.649,0.765,-0.69,0.765,-1.505,0.765,-3.306,0.765,-5.132,False,0.765
75206673-16f0-4c03-8080-9873bf74cb03,eth,long,bb2_expiry,2331.3,2433.5,4.383820186162219,5.60631407369278,29.769097499999997,2026-04-17 01:32:29.114105+00,2026-04-17 17:33:09.597+00,True,,0.686,-0.621,0.686,-0.234,0.686,-1.068,0.686,-3.016,0.686,-5.7,False,0.686
3c9f75ab-c60f-4e42-978a-847a17e1acca,eth,long,trailing_stop,2330.2,2431.7,4.35584928332332,5.64758389837784,195.60253500000002,2026-04-17 01:32:16.749353+00,2026-04-17 17:13:04.823+00,True,,0.761,-0.547,0.761,-0.16,0.761,-0.995,0.761,-2.944,0.761,-5.63,False,0.761
c437df8d-7278-45da-a0cf-10f1d00f9439,hype,long,trailing_stop,43.413,44.9155,3.460944878262283,4.80731578098727,219.24375999999998,2026-04-17 10:32:47.872253+00,2026-04-17 17:09:07.722+00,True,,0.682,-1.758,0.682,-0.767,1.203,-0.217,1.203,-1.635,1.203,-6.74,False,1.203
3191e6d6-223d-4315-a8bb-53f97dae8a0a,gold,short,stop_loss,4821.4,4858.6,-0.7715601277637352,0.0477039863939784,187.05225,2026-04-17 12:32:27.732318+00,2026-04-17 13:09:06.633+00,True,,0.432,-0.354,0.432,-0.082,0.545,0.34,0.93,0.899,1.601,1.076,False,0.93
0a582ec8-b803-4449-af6a-bc12438aeab0,hype,long,bb2_expiry,43.734,44.031,0.67910550144052,1.55942744775231,43.58376,2026-04-16 17:32:17.519667+00,2026-04-17 09:33:12.1+00,True,,0.988,-1.515,2.153,2.076,3.336,1.226,3.336,1.715,3.336,-2.539,True,3.336
